station_id,n_train,tau_well,is_igp
153722075042001,23,5.856000000000001,False
154000075340001,94,10.116999999999999,False
154000076420001,8,4.015,False
154002078262701,20,5.143000000000001,False
154010080101501,96,4.779999999999999,False
154015075344001,63,19.308,False
154020076405301,23,5.2,False
154044079383301,22,10.372000000000003,False
154100077460003,23,9.034,False
154115078103001,94,6.593000000000002,False
154121076431101,24,4.582,False
154155075440501,18,29.15,False
154229073450501,61,4.99,False
154231073511801,50,8.599,False
154244077355001,92,6.513,False
154255077483501,65,21.8,False
154257077254201,5,12.996,False
154300077163001,14,4.782,False
154300077360001,94,3.620000000000001,False
154400076033002,40,13.422,False
154508073502001,58,4.536000000000002,False
154800075450001,90,12.27,False
155000076170001,33,7.9,False
155000079280001,95,10.328000000000001,False
155000080215001,69,4.506,False
155010080214001,96,3.575,False
155015074223001,79,12.6,False
155020076173001,13,5.0,False
155020076273001,85,10.75,False
155033080030001,90,2.2809999999999997,False
155100078281501,61,2.86,False
155101078281501,16,2.55,False
155115077071501,19,7.305999999999997,False
155145076490001,59,7.268000000000001,False
155154076484101,21,20.05,False
155200078163001,62,12.67,False
155310076270001,38,9.236,False
160300076533001,67,5.029999999999999,False
160300077080001,90,9.33,False
160300077125001,20,4.4110000000000005,False
160300077125002,51,13.37,False
160304077122801,21,8.78,False
160320076340001,80,6.275000000000002,False
160323076231801,16,5.4,False
160324074195001,87,2.8400000000000003,False
160400076593001,22,1.8290000000000006,False
160400078520501,18,1.5090000000000001,False
160410080400301,21,3.85,False
160420076204001,22,1.872,False
161230077210001,61,8.23,False
161230077210002,36,6.445,False
161253076335301,7,3.3040000000000003,False
161325079463501,95,2.732,False
161325079543301,45,4.5920000000000005,False
161330080550001,94,2.937,False
161335080305101,22,9.569000000000003,False
161339080020401,27,10.546000000000003,False
161400074030001,90,11.923,False
161409081043701,19,2.108,False
161436079502901,20,4.300000000000001,False
161437080045901,20,6.143,False
161446076350401,18,13.015,False
161515079544501,17,4.062,False
161520080545001,17,3.568,False
161536080282801,12,4.7059999999999995,False
162300074110001,81,1.4,False
162345081110001,89,3.2860000000000005,False
162346079285501,7,12.55,False
162402076585801,20,1.567000000000002,False
162414080095601,21,3.24,False
162416080240701,22,3.0860000000000003,False
162423080085301,20,5.970000000000001,False
162425079242501,52,11.803749999999999,False
162430073594501,94,6.630000000000001,False
162430081474001,19,2.376,False
162433081123301,19,2.6639999999999997,False
162440081090301,18,1.695,False
162448081365101,20,2.2170000000000005,False
162459080270801,22,4.373,False
162505080205501,22,1.4670000000000007,False
163122079172501,34,11.3,False
163132079475601,22,7.630000000000001,False
163145080280101,22,3.296,False
163148081552501,18,4.883,False
163154081312401,81,1.25,False
163155079482001,35,4.102,False
163158080215901,20,4.937,False
163200081390001,95,2.606,False
163220080590001,17,3.968,False
163228080383301,17,6.434,False
163230073494601,5,8.1,False
163235080082201,17,1.806,False
163248080083001,93,4.55,False
163259079501001,22,4.324,False
163300081130002,79,2.5680000000000005,False
163300081335001,22,2.1180000000000003,False
163330081300701,19,1.6079999999999999,False
163348081433801,4,1.4410000000000003,False
