station_id,count,min,max,span_days,median_gap_days
292206076294401,2,1996-01-05,2004-11-05,3227,3227.0
292230076163001,68,1994-05-01,2022-05-20,10246,102.0
292237076293301,6,2015-01-05,2022-05-20,2692,174.0
292250077021001,12,2012-11-05,2020-11-30,2947,102.0
292312075550001,37,2012-05-15,2023-01-01,3883,94.5
292314076225901,4,2015-01-05,2018-10-20,1384,174.0
292415076392001,10,2018-05-01,2021-01-10,985,61.0
292415076392002,60,1994-05-01,2022-10-01,10380,130.0
292420076144501,91,1994-05-01,2022-11-01,10411,102.0
292430075084001,2,2018-06-01,2018-10-20,141,141.0
292500076453001,12,1995-08-01,2022-05-20,9789,117.0
292515074360001,5,2015-05-15,2022-05-20,2562,469.5
292520074364501,107,1994-05-01,2023-01-01,10472,92.0
292530074461501,1,2012-05-15,2012-05-15,0,
292545077030002,26,2012-11-05,2022-11-01,3648,151.0
292545077030003,6,2012-11-05,2015-11-05,1095,174.0
292620076112001,19,2018-06-01,2022-11-01,1614,73.0
292632076373601,4,2017-01-05,2022-05-20,1961,512.0
292645076591501,4,2015-11-05,2022-05-20,2388,939.0
292700076240002,8,2015-01-05,2022-05-20,2692,174.0
292710074340501,63,1994-05-01,2022-05-20,10246,102.0
292715075121501,115,1994-08-01,2023-01-01,10380,73.0
292715075591501,5,2015-01-05,2018-10-20,1384,157.5
292720076563502,8,2015-01-05,2022-11-01,2857,141.0
292730075555001,4,2015-01-05,2022-05-20,2692,1254.0
292800074380001,1,2022-05-20,2022-05-20,0,
292800076110001,104,1994-05-01,2022-11-01,10411,102.0
292810076111001,31,2012-11-05,2022-10-01,3617,106.0
292810076492001,60,1994-11-01,2022-11-01,10227,102.0
292832075364001,13,2019-05-20,2023-01-01,1322,85.5
292837076161901,5,2016-08-25,2022-11-01,2259,405.0
292845076535701,6,2015-01-05,2022-05-20,2692,174.0
292855076170001,53,1994-05-01,2008-05-15,5128,97.0
292915075251501,48,1994-05-01,2018-10-20,8938,78.0
293030075513001,22,2012-11-05,2022-11-01,3648,80.0
293107076285501,26,2012-11-05,2022-11-01,3648,130.0
293145075402001,42,1994-05-01,2022-05-20,10246,92.0
293215074443002,27,1997-11-05,2012-11-05,5479,102.0
293400075290001,2,2000-08-25,2022-05-20,7938,7938.0
293424076185001,7,2015-01-05,2022-05-20,2692,300.5
293440076291501,53,1994-05-01,2012-11-05,6763,102.0
293512078080601,1,2023-01-30,2023-01-30,0,
293600074430001,1,2020-01-10,2020-01-10,0,
