split,h,model_a,model_b,metric,n_wells,median_diff,mean_diff,a_better_frac,wilcoxon_stat,p_value,region
test,1,chronos,seasonal_naive,rmse,186,-0.0861163781191902,-0.1595588626074972,0.5752688172043011,6336.0,0.0013311469587686,igp
test,1,gru,seasonal_naive,rmse,186,-0.1352804177572096,-0.1479762599689014,0.6129032258064516,5770.0,6.920549330033961e-05,igp
test,1,random_forest,seasonal_naive,rmse,186,-0.08758825385793,-0.1153828136771727,0.5913978494623656,6939.0,0.0168928013889624,igp
test,2,random_forest,xgboost,rmse,195,0.0147530594177028,-0.0829365701769452,0.482051282051282,9551.0,0.995955451070866,igp
test,2,random_forest,chronos,rmse,195,-0.0289942284110689,-0.0088594227117536,0.5487179487179488,9032.0,0.5074673637551719,igp
test,2,random_forest,gru,rmse,195,-0.0488751125188567,-0.1355869549303221,0.5897435897435898,7558.0,0.0113817579457168,igp
test,2,chronos,gru,rmse,195,-0.0250076248451964,-0.1267275322185684,0.5282051282051282,8185.0,0.0825336243727083,igp
test,2,chronos,lstm,rmse,195,-0.0287315853058751,-0.165934796287219,0.5538461538461539,7381.0,0.0058680941849448,igp
test,2,gru,lstm,rmse,195,-0.0202765550202763,-0.0392072640686506,0.5897435897435898,7086.0,0.0017545638680293,igp
test,2,chronos,seasonal_naive,rmse,195,-0.0556468396739253,-0.0374876608681826,0.5538461538461539,8234.0,0.0941160061420608,igp
test,2,gru,seasonal_naive,rmse,195,-0.0124824604736035,0.0892398713503857,0.5128205128205128,9278.0,0.7255613330571266,igp
test,2,random_forest,seasonal_naive,rmse,195,-0.0414579957488325,-0.0463470835799363,0.5641025641025641,8070.0,0.0598485280595853,igp
test,3,random_forest,xgboost,rmse,169,-0.024357612029388,-0.1286645795885921,0.5443786982248521,6372.0,0.2032650390951919,igp
test,3,random_forest,chronos,rmse,169,0.0315590669799115,0.0752894444026711,0.4378698224852071,5951.0,0.0532139829701052,igp
test,3,random_forest,gru,rmse,169,-0.0358395773541531,-0.2202908589219017,0.5384615384615384,5735.0,0.0230712825251063,igp
test,3,chronos,gru,rmse,169,-0.0387786441933368,-0.2955803033245728,0.591715976331361,5166.0,0.0015484045111686,igp
test,3,chronos,lstm,rmse,169,-0.0431936198267643,-0.2756688596255957,0.5680473372781065,5036.0,0.0007529750286783,igp
test,3,gru,lstm,rmse,169,-0.0002101791322579,0.019911443698977,0.5029585798816568,7049.0,0.8340070209038333,igp
test,3,chronos,seasonal_naive,rmse,169,-0.0604950722362277,-0.0881670476394008,0.5621301775147929,5545.0,0.010154894751799,igp
test,3,gru,seasonal_naive,rmse,169,0.0173982186833583,0.2074132556851718,0.4792899408284023,6209.0,0.1264683744310577,igp
test,3,random_forest,seasonal_naive,rmse,169,-0.0323376852325483,-0.0128776032367297,0.5621301775147929,6186.0,0.1177511765820542,igp
test,4,random_forest,xgboost,rmse,216,-0.014355579428786,-0.1190183642733461,0.5370370370370371,9992.0,0.0605290832755074,igp
test,4,random_forest,chronos,rmse,216,0.0619315839386132,0.080479225073705,0.4259259259259259,9852.0,0.0424418645232601,igp
test,4,random_forest,gru,rmse,216,-0.0633693384774083,-0.3168028775864648,0.5555555555555556,9297.0,0.0084711633269024,igp
test,4,chronos,gru,rmse,216,-0.0584224429839346,-0.3972821026601699,0.6018518518518519,8094.0,8.118351498321146e-05,igp
test,4,chronos,lstm,rmse,216,-0.0554497874094813,-0.2515284686396764,0.5416666666666666,8552.0,0.0005756566337687,igp
test,4,gru,lstm,rmse,216,0.0055357864996194,0.1457536340204934,0.4722222222222222,10022.0,0.0651399190206995,igp
test,4,chronos,seasonal_naive,rmse,216,-0.032734964874541,-0.060907915052202,0.5648148148148148,9863.0,0.0436747019800399,igp
test,4,gru,seasonal_naive,rmse,216,0.0484811524240434,0.3363741876079678,0.4259259259259259,9081.0,0.0041362838474978,igp
test,4,random_forest,seasonal_naive,rmse,216,-0.032343068948175,0.0195713100215029,0.5324074074074074,11239.0,0.6024480614618286,igp
